email,first_name,last_name,full_address,zipp,city,size,phonenumber,item name,add1,add2
,Markus,Romano,Boinod 5,2314,La Sagne,9,4.95167E+11,Nke SB Bearbrick,,
,Paul,Melancon,Aebnit 9,3702,Hondrich,10,4.91478E+11,Nke SB Bearbrick,,
,Leo,Wollenberg,Route de Morlens 101,1674,Morlens,9,4.9769E+11,Nke SB Bearbrick,,
,Gabriel,Hauff,Chinnguet 98,3775,Lenk,7,4.95067E+11,Nke SB Bearbrick,,
,Hugo,Kayser,Ers Curtins 77,7530,Zernez,6,4.95335E+11,Nke SB Bearbrick,,
,Jonas,Merritt,Moosaffoltern 751,3256,Rapperswil,8.5,4.97025E+11,Nke SB Bearbrick,,
,Valentin,Walker,Via Roncaglia 22,6883,Novazzano,8,4.91461E+11,Nke SB Bearbrick,,
,Joram,Chacon,Berghof 24,5506,Mägenwil,11,4.92729E+11,Nke SB Bearbrick,,
,Damian,Meier,Waagtalstrasse 126,8842,Unteriberg,5,4.98011E+11,Nke SB Bearbrick,,
,Philipp,Klein,Chräbsenbachweg 124,8955,Oetwil an der Limmat,4.5,4.93611E+11,Nke SB Bearbrick,,
,Victor,Simonsen,Haggenstrasse 3,9413,Oberegg,9,4.97261E+11,Nke SB Bearbrick,,
,Oskar,Gersten,Champs-Crétin 3,1427,Bonvillars,10,4.96565E+11,Nke SB Bearbrick,,
,Leon,Michaud,Obergross 5,8841,Gross SZ,9,4.93587E+11,Nke SB Bearbrick,,
,Danilo,Ward,Eichholzstrasse 5,3027,Bern,7,4.90542E+11,Nke SB Bearbrick,,
,Finn,Lamarre,Chemin de la Senoge 2,1114,Colombier,6,4.97023E+11,Nke SB Bearbrick,,
,Jonathan,Mouet,Bolzbergstrasse 1,8840,Einsiedeln,8.5,4.91215E+11,Nke SB Bearbrick,,
,Nils,Pittman,Wendenalp 1,3863,Gadmen,8,4.98252E+11,Nke SB Bearbrick,,
,Noah,Rivigali,Pfaffensteinstrasse 76,8118,Pfaffhausen,11,4.93239E+11,Nke SB Bearbrick,,
,Joel,Faluc,Klausrütistrasse 50,8414,Dorf,9,4.96154E+11,Nke SB Bearbrick,,
,Aleix,Wube,Wilerstrasse 137,8514,Amlikon-Bissegg,10,4.99689E+11,Nke SB Bearbrick,,
,Jimmy,Tuominen,route de la Crettaz 3,1955,Chamoson,9,4.91773E+11,Nke SB Bearbrick,,
,Hector,Suciu,Monti di Paudo 17,6582,Pianezzo,7,4.96084E+11,Nke SB Bearbrick,,
,Herman,Fortin,Niederbürerstrasse 30,9246,Niederbüren,6,4.99817E+11,Nke SB Bearbrick,,
,Felix,Dellucci,Lenkstrasse 17,3772,Sankt Stephan,8.5,4.99959E+11,Nke SB Bearbrick,,
,Kevin,Ricci,Dorfstrasse 94,8800,Thalwil,8,4.97215E+11,Nke SB Bearbrick,,
,Samuel,Tanile,Pischestrasse 12,3999,Obergoms VS,11,4.91301E+11,Nke SB Bearbrick,,
,Ben,Arnold,Moosgasse 1,3818,Grindelwald,9,4.98474E+11,Nke SB Bearbrick,,
